OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,TLE_LINE1,TLE_LINE2
ASTROSAT,,2025-12-06T07:46:14.628288,0.0,0.0,5.9964,0.0,0.0,0.0,0,U,40930,0,0,0.0,0.0,0.0,1 40930U 15052A   25340.32378042  .00003152  00000+0  30545-3 0  9992,2 40930   5.9964 103.0984 0007824 164.7540 195.2824 14.81990632551166
BRISAT,,2025-12-05T21:15:36.568224,0.0,0.0,0.0165,0.0,0.0,0.0,0,U,41591,0,0,0.0,0.0,0.0,1 41591U 16039A   25339.88583991 -.00000189  00000+0  00000+0 0  9999,2 41591   0.0165 317.8104 0002363 279.8549 306.6753  1.00261063 34675
BUGSAT-1 (TITA),,2025-12-06T05:47:31.604064,0.0,0.0,98.0572,0.0,0.0,0.0,0,U,40014,0,0,0.0,0.0,0.0,1 40014U 14033E   25340.24133801  .00011206  00000+0  62818-3 0  9993,2 40014  98.0572  56.7733 0030490 117.9937 242.4383 15.13173181626636
CARTOSAT-2A,,2025-12-06T05:50:12.228576,0.0,0.0,97.7939,0.0,0.0,0.0,0,U,32783,0,0,0.0,0.0,0.0,1 32783U 08021A   25340.24319709  .00001784  00000+0  24854-3 0  9998,2 32783  97.7939  30.2695 0012300  25.0657 335.1149 14.78919156950286
CARTOSAT-2B,,2025-12-06T06:46:12.493920,0.0,0.0,97.7861,0.0,0.0,0.0,0,U,36795,0,0,0.0,0.0,0.0,1 36795U 10035A   25340.28208905  .00001563  00000+0  21930-3 0  9999,2 36795  97.7861  29.5221 0012907  96.6159 263.6523 14.78774622831340
CARTOSAT-2C,,2025-12-06T06:37:42.530880,0.0,0.0,97.4773,0.0,0.0,0.0,0,U,41599,0,0,0.0,0.0,0.0,1 41599U 16040A   25340.27618670  .00008226  00000+0  39338-3 0  9996,2 41599  97.4773  37.5932 0011012  84.7710 275.4781 15.19199950524428
CARTOSAT-2E,,2025-12-06T06:15:31.881024,0.0,0.0,97.4564,0.0,0.0,0.0,0,U,42767,0,0,0.0,0.0,0.0,1 42767U 17036C   25340.26078566  .00009182  00000+0  43896-3 0  9999,2 42767  97.4564  37.9320 0002347 270.3982  89.6983 15.19223622468851
CARTOSAT-2F,,2025-12-06T07:02:45.286080,0.0,0.0,97.4326,0.0,0.0,0.0,0,U,43111,0,0,0.0,0.0,0.0,1 43111U 18004A   25340.29357970  .00008807  00000+0  42176-3 0  9994,2 43111  97.4326  38.0355 0000599 135.8128 224.3154 15.19178411438046
CARTOSAT-3,,2025-12-06T05:48:04.591584,0.0,0.0,97.4593,0.0,0.0,0.0,0,U,44804,0,0,0.0,0.0,0.0,1 44804U 19081A   25340.24171981  .00008238  00000+0  39256-3 0  9994,2 44804  97.4593  39.9072 0013914 107.4260 252.8497 15.19287818334172
CMS-02 (GSAT 24),,2025-12-05T22:31:38.798400,0.0,0.0,0.0163,0.0,0.0,0.0,0,U,52903,0,0,0.0,0.0,0.0,1 52903U 22067A   25339.93864350  .00000000  00000+0  00000+0 0  9994,2 52903   0.0163   7.8912 0005022 259.5614 228.4335  1.00270188 12679
CMS-03 (GSAT-7R),,2025-12-06T07:15:33.891840,0.0,0.0,0.1557,0.0,0.0,0.0,0,U,66311,0,0,0.0,0.0,0.0,1 66311U 25249B   25340.30247560 -.00000250  00000+0  00000+0 0  9996,2 66311   0.1557 272.2771 0003949 187.7064 177.7378  1.00274246   414
CUBEL,,2025-12-06T01:48:24.542784,0.0,0.0,97.27,0.0,0.0,0.0,0,U,47448,0,0,0.0,0.0,0.0,1 47448U 21006AM  25340.07528406  .00013519  00000+0  37601-3 0  9990,2 47448  97.2636  27.7272 0008079 140.3832 219.8005 15.36925653270058
EMISAT,,2025-12-06T06:11:14.000352,0.0,0.0,98.4944,0.0,0.0,0.0,0,U,44078,0,0,0.0,0.0,0.0,1 44078U 19018A   25340.25780093  .00000560  00000+0  17774-3 0  9999,2 44078  98.4944  34.8470 0019945  79.7001 280.6437 14.43623236352229
EOS-08,,2025-12-06T07:26:16.966176,0.0,0.0,37.3783,0.0,0.0,0.0,0,U,60454,0,0,0.0,0.0,0.0,1 60454U 24147A   25340.30991859  .00038778  00000+0  84204-3 0  9998,2 60454  37.3783 194.6095 0005607 291.6937  68.3229 15.43435323 73228
EOS-4,,2025-12-06T05:05:48.660000,0.0,0.0,97.5125,0.0,0.0,0.0,0,U,51656,0,0,0.0,0.0,0.0,1 51656U 22013A   25340.21236875  .00004426  00000+0  25636-3 0  9999,2 51656  97.5125 344.8009 0002030 101.1776 258.9683 15.12720559210315
EOS-6 (OCEANSAT-3),,2025-12-06T07:20:39.575904,0.0,0.0,98.3555,0.0,0.0,0.0,0,U,54361,0,0,0.0,0.0,0.0,1 54361U 22158A   25340.30601361  .00000828  00000+0  23966-3 0  9997,2 54361  98.3555  76.1110 0001263 148.5791 211.5477 14.47024282159948
EOSSAT-1,,2025-12-06T04:08:21.556608,0.0,0.0,97.3532,0.0,0.0,0.0,0,U,55053,0,0,0.0,0.0,0.0,1 55053U 23001AW  25340.17247172  .00012655  00000+0  42970-3 0  9992,2 55053  97.3532  37.5169 0011556  87.6560 272.6004 15.30567074162367
GEOSCAN 1 (RS92S1),,2025-12-06T07:16:38.282304,0.0,0.0,97.4332,0.0,0.0,0.0,0,U,64880,0,0,0.0,0.0,0.0,1 64880U 25155E   25340.30322086  .00021229  00000+0  83648-3 0  9999,2 64880  97.4332 304.0924 0009959 129.4071 230.8050 15.25569781 51311
GEOSCAN 2 (RS92S2),,2025-12-06T03:18:48.210336,0.0,0.0,97.4327,0.0,0.0,0.0,0,U,64890,0,0,0.0,0.0,0.0,1 64890U 25155Q   25340.13805799  .00018348  00000+0  71681-3 0  9990,2 64890  97.4327 303.9961 0009539 118.2950 241.9252 15.25890347 51290
GEOSCAN 3 (RS92S3),,2025-12-06T06:28:40.828800,0.0,0.0,97.4332,0.0,0.0,0.0,0,U,64893,0,0,0.0,0.0,0.0,1 64893U 25155T   25340.26991700  .00029547  00000+0  10969-2 0  9999,2 64893  97.4332 304.2853 0008039 134.2324 225.9577 15.27496938 51326
GEOSCAN 4 (RS92S4),,2025-12-06T07:07:45.313536,0.0,0.0,97.4338,0.0,0.0,0.0,0,U,64892,0,0,0.0,0.0,0.0,1 64892U 25155S   25340.29705224  .00024051  00000+0  91264-3 0  9998,2 64892  97.4338 304.2545 0008347 132.9661 227.2279 15.26813303 51322
GEOSCAN 5 (RS92S5),,2025-12-06T07:11:31.055136,0.0,0.0,97.4335,0.0,0.0,0.0,0,U,64891,0,0,0.0,0.0,0.0,1 64891U 25155R   25340.29966499  .00023501  00000+0  89372-3 0  9996,2 64891  97.4335 304.2478 0008317 132.2801 227.9144 15.26745518 51329
GEOSCAN 6 (RS92S6),,2025-12-06T01:11:58.583040,0.0,0.0,97.4328,0.0,0.0,0.0,0,U,64879,0,0,0.0,0.0,0.0,1 64879U 25155D   25340.04998360  .00017430  00000+0  69314-3 0  9995,2 64879  97.4328 303.8140 0009981 129.8871 230.3246 15.25303747 51273
GHGSAT-C1,,2025-12-06T06:56:34.367424,0.0,0.0,97.233,0.0,0.0,0.0,0,U,46278,0,0,0.0,0.0,0.0,1 46278U 20061G   25340.28928666  .00036343  00000+0  47594-3 0  9997,2 46278  97.2330  55.8123 0002518  58.2258 301.9243 15.58511138293311
GHGSAT-C12,,2025-12-06T05:39:10.308672,0.0,0.0,97.4619,0.0,0.0,0.0,0,U,64529,0,0,0.0,0.0,0.0,1 64529U 25135B   25340.23553598  .00007278  00000+0  35499-3 0  9992,2 64529  97.4619  92.2021 0006402 119.2294 240.9582 15.18587788 25522
GHGSAT-C13,,2025-12-06T06:21:34.000704,0.0,0.0,97.4643,0.0,0.0,0.0,0,U,64548,0,0,0.0,0.0,0.0,1 64548U 25135W   25340.26497686  .00007097  00000+0  33858-3 0  9997,2 64548  97.4643  92.5181 0002661  79.7970 280.3565 15.19379673 25548
GHGSAT-C2,,2025-12-06T02:48:21.947616,0.0,0.0,97.2449,0.0,0.0,0.0,0,U,47509,0,0,0.0,0.0,0.0,1 47509U 21006DA  25340.11692069  .00010054  00000+0  29839-3 0  9995,2 47509  97.2449  25.7042 0006594 130.9668 229.2148 15.34975414270201
GHGSAT-C3,,2025-12-06T08:14:38.768928,0.0,0.0,97.6341,0.0,0.0,0.0,0,U,52737,0,0,0.0,0.0,0.0,1 52737U 22057F   25340.34350427  .00012281  00000+0  40940-3 0  9995,2 52737  97.6341 114.5618 0007639  87.0982 273.1133 15.31215678195993
GHGSAT-C4,,2025-12-06T07:07:54.357888,0.0,0.0,97.627,0.0,0.0,0.0,0,U,52746,0,0,0.0,0.0,0.0,1 52746U 22057Q   25340.29715692  .00012015  00000+0  40073-3 0  9990,2 52746  97.6270 113.5396 0007797  75.1247 285.0857 15.31206591195992
GHGSAT-C5,,2025-12-06T07:32:40.104384,0.0,0.0,97.6429,0.0,0.0,0.0,0,U,52744,0,0,0.0,0.0,0.0,1 52744U 22057N   25340.31435306  .00012719  00000+0  42405-3 0  9994,2 52744  97.6429 115.8809 0008628  83.8247 276.3977 15.31195666195996
GHGSAT-C6,,2025-12-06T03:34:01.375392,0.0,0.0,97.3177,0.0,0.0,0.0,0,U,56204,0,0,0.0,0.0,0.0,1 56204U 23054AC  25340.14862703  .00021984  00000+0  44168-3 0  9995,2 56204  97.3177 242.3144 0009563  38.8008 321.3927 15.46618415148554
GHGSAT-C7,,2025-12-06T04:37:40.286496,0.0,0.0,97.3136,0.0,0.0,0.0,0,U,56209,0,0,0.0,0.0,0.0,1 56209U 23054AH  25340.19282739  .00016819  00000+0  35687-3 0  9997,2 56209  97.3136 241.6080 0009574  31.2468 328.9348 15.45071264148547
GHGSAT-C8,,2025-12-06T04:28:21.215424,0.0,0.0,97.3144,0.0,0.0,0.0,0,U,56186,0,0,0.0,0.0,0.0,1 56186U 23054J   25340.18635666  .00020394  00000+0  40978-3 0  9993,2 56186  97.3144 241.7827 0007796  58.5727 301.6284 15.46646677148548
GSAT-10,,2025-12-06T03:47:13.284960,0.0,0.0,0.0249,0.0,0.0,0.0,0,U,38779,0,0,0.0,0.0,0.0,1 38779U 12051B   25340.15779265 -.00000157  00000+0  00000+0 0  9991,2 38779   0.0249 263.1967 0002256 227.0163  84.7573  1.00273472 48160
GSAT-11,,2025-12-06T03:44:43.524384,0.0,0.0,0.0406,0.0,0.0,0.0,0,U,43824,0,0,0.0,0.0,0.0,1 43824U 18100B   25340.15605931 -.00000069  00000+0  00000+0 0  9999,2 43824   0.0406 254.9703 0001901 227.6642  82.7266  1.00271872 25548
GSAT-14,,2025-12-06T02:02:00.862944,0.0,0.0,0.0142,0.0,0.0,0.0,0,U,39498,0,0,0.0,0.0,0.0,1 39498U 14001A   25340.08473221 -.00000068  00000+0  00000+0 0  9993,2 39498   0.0142 270.5654 0006248 348.0572 281.0133  1.00271012 43447
GSAT-15,,2025-12-06T03:16:38.682912,0.0,0.0,0.0389,0.0,0.0,0.0,0,U,41028,0,0,0.0,0.0,0.0,1 41028U 15065A   25340.13655883 -.00000249  00000+0  00000+0 0  9999,2 41028   0.0389  95.2462 0003001 141.3872 341.2131  1.00271233 36862
GSAT-16,,2025-12-06T03:39:21.538368,0.0,0.0,0.0776,0.0,0.0,0.0,0,U,40332,0,0,0.0,0.0,0.0,1 40332U 14078A   25340.15233262  .00000093  00000+0  00000+0 0  9990,2 40332   0.0776  97.0769 0002481  21.5517  66.4883  1.00271983 40176
GSAT-17,,2025-12-06T07:15:33.891840,0.0,0.0,0.0833,0.0,0.0,0.0,0,U,42815,0,0,0.0,0.0,0.0,1 42815U 17040B   25340.30247560 -.00000250  00000+0  00000+0 0  9999,2 42815   0.0833 100.2582 0007428 162.5146  14.9640  1.00271254 30852
GSAT-18,,2025-12-05T21:18:38.615616,0.0,0.0,0.018,0.0,0.0,0.0,0,U,41793,0,0,0.0,0.0,0.0,1 41793U 16060A   25339.88794694 -.00000067  00000+0  00000+0 0  9996,2 41793   0.0180  66.3035 0001662 233.3433 168.9322  1.00270687 33596
GSAT-19,,2025-12-06T05:46:38.731584,0.0,0.0,0.0603,0.0,0.0,0.0,0,U,42747,0,0,0.0,0.0,0.0,1 42747U 17031A   25340.24072606  .00000133  00000+0  00000+0 0  9992,2 42747   0.0603 102.7041 0002373 121.7719 345.3352  1.00270723 31217
GSAT-29,,2025-12-06T05:21:52.281792,0.0,0.0,0.0551,0.0,0.0,0.0,0,U,43698,0,0,0.0,0.0,0.0,1 43698U 18089A   25340.22352178  .00000093  00000+0  00000+0 0  9990,2 43698   0.0551  99.7034 0003784 152.1748 318.9156  1.00273293 25866
GSAT-30,,2025-12-05T22:31:38.798400,0.0,0.0,0.0485,0.0,0.0,0.0,0,U,45026,0,0,0.0,0.0,0.0,1 45026U 20005A   25339.93864350 -.00000156  00000+0  00000+0 0  9995,2 45026   0.0485 111.2676 0002208 113.6208 271.0441  1.00270110 21579
GSAT-31,,2025-12-06T05:46:38.731584,0.0,0.0,0.0172,0.0,0.0,0.0,0,U,44035,0,0,0.0,0.0,0.0,1 44035U 19007B   25340.24072606  .00000133  00000+0  00000+0 0  9999,2 44035   0.0172 293.7588 0006683 322.2469 313.8224  1.00272565 25032
GSAT-6,,2025-12-06T07:12:19.203264,0.0,0.0,1.4199,0.0,0.0,0.0,0,U,40880,0,0,0.0,0.0,0.0,1 40880U 15041A   25340.30022226 -.00000153  00000+0  00000+0 0  9990,2 40880   1.4199  85.1380 0002991 169.9045  10.8896  1.00269264 37660
GSAT-7,,2025-12-06T02:02:00.862944,0.0,0.0,0.0552,0.0,0.0,0.0,0,U,39234,0,0,0.0,0.0,0.0,1 39234U 13044B   25340.08473221 -.00000068  00000+0  00000+0 0  9997,2 39234   0.0552 103.2420 0008121 168.4408 267.9569  1.00271177 43322
GSAT-7A,,2025-12-06T03:41:28.834944,0.0,0.0,0.0738,0.0,0.0,0.0,0,U,43864,0,0,0.0,0.0,0.0,1 43864U 18105A   25340.15380596  .00000035  00000+0  00000+0 0  9997,2 43864   0.0738  96.4289 0002804 158.4912 298.3962  1.00270269 25516
GSAT-8,,2025-12-06T03:39:14.050080,0.0,0.0,1.6318,0.0,0.0,0.0,0,U,37605,0,0,0.0,0.0,0.0,1 37605U 11022A   25340.15224595  .00000092  00000+0  00000+0 0  9993,2 37605   1.6318  84.2605 0009116 179.1690 281.6727  1.00272373 51281
GSAT-9,,2025-12-06T03:16:38.682912,0.0,0.0,0.0746,0.0,0.0,0.0,0,U,42695,0,0,0.0,0.0,0.0,1 42695U 17024A   25340.13655883 -.00000278  00000+0  00000+0 0  9999,2 42695   0.0746  95.2759 0002428 158.0443 328.3541  1.00270658 31361
GSAT-N2 (GSAT-20),,2025-12-06T03:42:36.226944,0.0,0.0,0.036,0.0,0.0,0.0,0,U,62028,0,0,0.0,0.0,0.0,1 62028U 24214A   25340.15458596 -.00000011  00000+0  00000+0 0  9999,2 62028   0.0360  92.6028 0003026 203.4313 262.8466  1.00268868  3964
GSAT0101 (GALILEO-PF,,2025-12-05T20:41:06.291168,0.0,0.0,57.0543,0.0,0.0,0.0,0,U,37846,0,0,0.0,0.0,0.0,1 37846U 11060A   25339.86187837 -.00000079  00000+0  00000+0 0  9991,2 37846  57.0543 347.0066 0002868 311.3987  48.6016  1.70475510 87826
GSAT0102 (GALILEO-FM,,2025-12-06T01:52:21.849024,0.0,0.0,57.055,0.0,0.0,0.0,0,U,37847,0,0,0.0,0.0,0.0,1 37847U 11060B   25340.07803066 -.00000079  00000+0  00000+0 0  9996,2 37847  57.0550 347.0012 0004842 307.2223 230.8964  1.70475720 87838
GSAT0103 (GALILEO-FM,,2025-12-01T05:01:21.613152,0.0,0.0,55.6823,0.0,0.0,0.0,0,U,38857,0,0,0.0,0.0,0.0,1 38857U 12055A   25335.20927793  .00000042  00000+0  00000+0 0  9995,2 38857  55.6823 106.9832 0002300 267.1494  92.7944  1.70473256 81637
GSAT0201 (GALILEO 5),,2025-12-03T05:25:23.717280,0.0,0.0,49.088,0.0,0.0,0.0,0,U,40128,0,0,0.0,0.0,0.0,1 40128U 14050A   25337.22596895 -.00000059  00000+0  00000+0 0  9994,2 40128  49.0880 281.4514 1647031 171.9194 191.1354  1.85519443 74684
GSAT0202 (GALILEO 6),,2025-12-02T22:38:17.581056,0.0,0.0,49.1042,0.0,0.0,0.0,0,U,40129,0,0,0.0,0.0,0.0,1 40129U 14050B   25336.94325904 -.00000059  00000+0  00000+0 0  9994,2 40129  49.1042 280.5465 1647571 172.6616 190.1192  1.85520310 76841
GSAT0203 (GALILEO 7),,2025-12-05T01:16:54.709536,0.0,0.0,56.8481,0.0,0.0,0.0,0,U,40544,0,0,0.0,0.0,0.0,1 40544U 15017A   25339.05341099 -.00000075  00000+0  00000+0 0  9995,2 40544  56.8481 346.8898 0006510 269.6279  90.3257  1.70475832 65891
GSAT0204 (GALILEO 8),,2025-12-04T03:15:24.834240,0.0,0.0,56.8537,0.0,0.0,0.0,0,U,40545,0,0,0.0,0.0,0.0,1 40545U 15017B   25338.13570410 -.00000071  00000+0  00000+0 0  9991,2 40545  56.8537 346.9325 0006258 261.1307  98.8308  1.70475395 28925
GSAT0205 (GALILEO 9),,2025-12-03T21:42:02.149056,0.0,0.0,55.0066,0.0,0.0,0.0,0,U,40889,0,0,0.0,0.0,0.0,1 40889U 15045A   25337.90419154  .00000040  00000+0  00000+0 0  9999,2 40889  55.0066 227.0025 0005859  38.6315 321.5029  1.70472902 63681
GSAT0206 (GALILEO 10,,2025-12-05T21:13:48.980352,0.0,0.0,55.0048,0.0,0.0,0.0,0,U,40890,0,0,0.0,0.0,0.0,1 40890U 15045B   25339.88459468  .00000035  00000+0  00000+0 0  9996,2 40890  55.0048 226.9429 0003558  32.2764 327.8431  1.70473029 63745
GSAT0207 (GALILEO 15,,2025-12-03T23:59:33.819072,0.0,0.0,55.3774,0.0,0.0,0.0,0,U,41859,0,0,0.0,0.0,0.0,1 41859U 16069A   25337.99969698  .00000015  00000+0  00000+0 0  9998,2 41859  55.3774 106.4923 0002136 325.6107  34.3288  1.70474248 56074
GSAT0208 (GALILEO 11,,2025-12-05T16:28:14.683584,0.0,0.0,55.707,0.0,0.0,0.0,0,U,41175,0,0,0.0,0.0,0.0,1 41175U 15079B   25339.68628106  .00000008  00000+0  00000+0 0  9995,2 41175  55.7070 106.5718 0001917   7.3332 352.6208  1.70474159 61896
GSAT0209 (GALILEO 12,,2025-12-01T22:43:10.411392,0.0,0.0,55.7062,0.0,0.0,0.0,0,U,41174,0,0,0.0,0.0,0.0,1 41174U 15079A   25335.94664828  .00000035  00000+0  00000+0 0  9990,2 41174  55.7062 106.6773 0002352 357.4206   2.5431  1.70474306 61412
GSAT0210 (GALILEO 13,,2025-12-04T07:23:32.472672,0.0,0.0,55.1546,0.0,0.0,0.0,0,U,41550,0,0,0.0,0.0,0.0,1 41550U 16030B   25338.30801473  .00000040  00000+0  00000+0 0  9994,2 41550  55.1546 227.0538 0001419 244.2228 115.8568  1.70473512 59344
GSAT0211 (GALILEO 14,,2025-12-05T19:26:55.320000,0.0,0.0,55.1547,0.0,0.0,0.0,0,U,41549,0,0,0.0,0.0,0.0,1 41549U 16030A   25339.81036250  .00000035  00000+0  00000+0 0  9996,2 41549  55.1547 227.0144 0003955  12.8849 347.2228  1.70472946 59378
GSAT0212 (GALILEO 16,,2025-12-06T04:47:33.838080,0.0,0.0,55.376,0.0,0.0,0.0,0,U,41860,0,0,0.0,0.0,0.0,1 41860U 16069B   25340.19969720  .00000006  00000+0  00000+0 0  9992,2 41860  55.3760 106.4267 0002222  32.4045 327.5613  1.70474471 56361
GSAT0213 (GALILEO 17,,2025-12-04T19:22:49.962144,0.0,0.0,55.3775,0.0,0.0,0.0,0,U,41861,0,0,0.0,0.0,0.0,1 41861U 16069C   25338.80752271  .00000010  00000+0  00000+0 0  9994,2 41861  55.3775 106.4729 0002137 283.7545  76.1730  1.70474712 56200
GSAT0214 (GALILEO 18,,2025-12-05T12:57:44.455104,0.0,0.0,55.3762,0.0,0.0,0.0,0,U,41862,0,0,0.0,0.0,0.0,1 41862U 16069D   25339.54009786  .00000008  00000+0  00000+0 0  9990,2 41862  55.3762 106.4455 0001176 291.0864  68.8522  1.70474584 56340
GSAT0215 (GALILEO 19,,2025-12-06T00:43:24.455424,0.0,0.0,55.1369,0.0,0.0,0.0,0,U,43055,0,0,0.0,0.0,0.0,1 43055U 17079A   25340.03014416  .00000034  00000+0  00000+0 0  9999,2 43055  55.1369 226.8228 0004843 284.5496  75.4946  1.70473755 49697
GSAT0216 (GALILEO 20,,2025-12-03T23:24:20.577888,0.0,0.0,55.1334,0.0,0.0,0.0,0,U,43056,0,0,0.0,0.0,0.0,1 43056U 17079B   25337.97523817  .00000041  00000+0  00000+0 0  9997,2 43056  55.1334 226.8793 0002683 313.4300  46.6407  1.70473886 49678
GSAT0217 (GALILEO 21,,2025-12-05T22:56:13.502976,0.0,0.0,55.1308,0.0,0.0,0.0,0,U,43057,0,0,0.0,0.0,0.0,1 43057U 17079C   25339.95571184  .00000035  00000+0  00000+0 0  9991,2 43057  55.1308 226.8227 0002794 341.4584  18.6294  1.70473847 49692
GSAT0218 (GALILEO 22,,2025-12-03T05:49:40.297728,0.0,0.0,55.1321,0.0,0.0,0.0,0,U,43058,0,0,0.0,0.0,0.0,1 43058U 17079D   25337.24282752  .00000039  00000+0  00000+0 0  9996,2 43058  55.1321 226.8951 0002917 304.1404  55.9211  1.70473824 49672
GSAT0219 (GALILEO 23,,2025-12-05T22:22:25.351104,0.0,0.0,57.232,0.0,0.0,0.0,0,U,43566,0,0,0.0,0.0,0.0,1 43566U 18060C   25339.93223786 -.00000078  00000+0  00000+0 0  9995,2 43566  57.2320 347.0061 0005797 286.2752  73.6857  1.70475529 45898
GSAT0220 (GALILEO 24,,2025-12-04T23:31:11.369280,0.0,0.0,57.2318,0.0,0.0,0.0,0,U,43567,0,0,0.0,0.0,0.0,1 43567U 18060D   25338.97999270 -.00000074  00000+0  00000+0 0  9993,2 43567  57.2318 347.0321 0006163 281.7737  78.1861  1.70475333 45861
GSAT0221 (GALILEO 25,,2025-12-04T07:38:46.646016,0.0,0.0,57.2296,0.0,0.0,0.0,0,U,43564,0,0,0.0,0.0,0.0,1 43564U 18060A   25338.31859544 -.00000071  00000+0  00000+0 0  9994,2 43564  57.2296 347.0453 0006657 280.7305  79.2265  1.70475653 45840
